variant,model_variant,tokens,batch,parameters,scope,delta_scan_backend,p50_ms,p95_ms,mean_ms,min_ms,max_ms,tokens_per_second_p50
MHA,MHA,64,8,1337728,full GPT cached prefill,not applicable (SDPA/MLA only),2.0930559635162354,2.3003424406051636,2.1293531145368303,2.0295679569244385,2.3210880756378174,244618.39956723573
MHA,MHA,256,8,1337728,full GPT cached prefill,not applicable (SDPA/MLA only),2.1175999641418457,2.257062315940857,2.1239496639796664,2.0336639881134033,2.2994558811187744,967132.6193235695
MHA,MHA,1024,8,1337728,full GPT cached prefill,not applicable (SDPA/MLA only),6.215616226196289,6.230083179473876,6.21099887575422,6.185023784637451,6.234528064727783,1317970.688967903
MHA,MHA,4096,8,1337728,full GPT cached prefill,not applicable (SDPA/MLA only),28.043296813964844,28.40403575897217,26.784534999302455,23.902912139892578,28.497472763061523,1168478.8781211479
GQA,GQA,64,8,1272192,full GPT cached prefill,not applicable (SDPA/MLA only),6.664447784423828,10.502470302581784,7.541773659842355,5.83673620223999,11.357503890991211,76825.57003397164
GQA,GQA,256,8,1272192,full GPT cached prefill,not applicable (SDPA/MLA only),5.551328182220459,5.751187276840209,5.533398832593646,5.115935802459717,5.765376091003418,368920.72181198746
GQA,GQA,1024,8,1272192,full GPT cached prefill,not applicable (SDPA/MLA only),33.45817565917969,33.58968811035156,33.38352530343192,33.14316940307617,33.593345642089844,244842.99692390484
GQA,GQA,4096,8,1272192,full GPT cached prefill,not applicable (SDPA/MLA only),477.4839782714844,481.5359252929687,478.32884434291293,475.3469543457031,481.617919921875,68626.3864153553
MQA,MQA,64,8,1239424,full GPT cached prefill,not applicable (SDPA/MLA only),3.5493760108947754,3.829267168045044,3.604370253426688,3.422208070755005,3.8502719402313232,144250.70728725864
MQA,MQA,256,8,1239424,full GPT cached prefill,not applicable (SDPA/MLA only),3.546112060546875,4.702003264427184,3.7717805930546353,3.440351963043213,5.148672103881836,577533.9202574893
MQA,MQA,1024,8,1239424,full GPT cached prefill,not applicable (SDPA/MLA only),33.08544158935547,33.38586654663086,33.16800962175642,33.00822448730469,33.40083312988281,247601.349913238
MQA,MQA,4096,8,1239424,full GPT cached prefill,not applicable (SDPA/MLA only),488.5381164550781,489.03973388671875,488.5695582798549,487.9544677734375,489.0870666503906,67073.57910529192
MLA-style,MLA,64,8,1256064,full GPT cached prefill,not applicable (SDPA/MLA only),2.295520067214966,2.4446335554122927,2.3255039964403426,2.266655921936035,2.472991943359375,223043.13837743216
MLA-style,MLA,256,8,1256064,full GPT cached prefill,not applicable (SDPA/MLA only),2.3696320056915283,2.4706399917602537,2.3664960180010115,2.266688108444214,2.4907519817352295,864269.2177861319
MLA-style,MLA,1024,8,1256064,full GPT cached prefill,not applicable (SDPA/MLA only),3.646944046020508,3.8671648025512697,3.6158948625837053,3.397631883621216,3.8895039558410645,2246264.2411360797
MLA-style,MLA,4096,8,1256064,full GPT cached prefill,not applicable (SDPA/MLA only),26.203840255737305,26.676493453979493,26.2684941973005,26.048320770263672,26.77654457092285,1250503.730758528
GDN,GDN,64,8,1414048,full GPT cached prefill,FLA chunkwise,9.654303550720215,9.894217491149902,9.727963311331612,9.621503829956055,9.926655769348145,53033.343866819334
GDN,GDN,256,8,1414048,full GPT cached prefill,FLA chunkwise,9.90988826751709,10.468220806121826,10.040644645690918,9.763360023498535,10.528863906860352,206662.26951448
