operator,tokens,batch,p50_ms,p95_ms,tokens_per_second_p50
MHA SDPA,64,8,0.049342,0.056204,10376555.469985003
GDN chunkwise,64,8,0.868014,0.991937,589852.2374063091
GDN reference,64,8,18.285273,21.184695,28000.675735057386
KDA chunkwise,64,8,1.273949,1.378108,401899.91907054366
KDA reference,64,8,17.731589,20.146304,28875.020732772457
MHA SDPA,256,8,0.057158,0.062083,35830504.91619721
GDN chunkwise,256,8,1.079105,1.139117,1897869.0674216133
KDA chunkwise,256,8,1.289348,1.431454,1588399.7183072376
MHA SDPA,1024,8,0.268364,0.27876,30525703.894710172
GDN chunkwise,1024,8,2.183812,2.231012,3751238.659738109
KDA chunkwise,1024,8,1.657992,1.716536,4940916.482106066
MHA SDPA,4096,8,4.287213,4.567552,7643193.841780195
GDN chunkwise,4096,8,7.812022,7.950591,4194560.639998198
KDA chunkwise,4096,8,5.494143,5.760118,5964169.480117281
