variant,context_tokens,fixed_bytes,growing_bytes,state_bytes,state_gb,state_mib,sequences_per_1_gib,bytes_per_token
MHA_4L,128,0,524288,524288,0.000524288,0.5,2048,4096
GQA_4L,128,0,262144,262144,0.000262144,0.25,4096,2048
MQA_4L,128,0,131072,131072,0.000131072,0.125,8192,1024
MLA_4L,128,0,65536,65536,6.5536e-05,0.0625,16384,512
GDN_4L,128,83968,0,83968,8.3968e-05,0.080078125,12787,0
KDA_4L,128,83968,0,83968,8.3968e-05,0.080078125,12787,0
GDN_GA_3TO1,128,62976,131072,194048,0.000194048,0.18505859375,5533,1024
KDA_MLA_3TO1,128,62976,16384,79360,7.936e-05,0.07568359375,13530,128
K3_KDA_GMLA_3TO1,128,62976,16384,79360,7.936e-05,0.07568359375,13530,128
MHA_4L,512,0,2097152,2097152,0.002097152,2.0,512,4096
GQA_4L,512,0,1048576,1048576,0.001048576,1.0,1024,2048
MQA_4L,512,0,524288,524288,0.000524288,0.5,2048,1024
MLA_4L,512,0,262144,262144,0.000262144,0.25,4096,512
GDN_4L,512,83968,0,83968,8.3968e-05,0.080078125,12787,0
KDA_4L,512,83968,0,83968,8.3968e-05,0.080078125,12787,0
GDN_GA_3TO1,512,62976,524288,587264,0.000587264,0.56005859375,1828,1024
KDA_MLA_3TO1,512,62976,65536,128512,0.000128512,0.12255859375,8355,128
K3_KDA_GMLA_3TO1,512,62976,65536,128512,0.000128512,0.12255859375,8355,128
MHA_4L,2048,0,8388608,8388608,0.008388608,8.0,128,4096
GQA_4L,2048,0,4194304,4194304,0.004194304,4.0,256,2048
MQA_4L,2048,0,2097152,2097152,0.002097152,2.0,512,1024
MLA_4L,2048,0,1048576,1048576,0.001048576,1.0,1024,512
GDN_4L,2048,83968,0,83968,8.3968e-05,0.080078125,12787,0
KDA_4L,2048,83968,0,83968,8.3968e-05,0.080078125,12787,0
GDN_GA_3TO1,2048,62976,2097152,2160128,0.002160128,2.06005859375,497,1024
KDA_MLA_3TO1,2048,62976,262144,325120,0.00032512,0.31005859375,3302,128
K3_KDA_GMLA_3TO1,2048,62976,262144,325120,0.00032512,0.31005859375,3302,128
MHA_4L,8192,0,33554432,33554432,0.033554432,32.0,32,4096
GQA_4L,8192,0,16777216,16777216,0.016777216,16.0,64,2048
MQA_4L,8192,0,8388608,8388608,0.008388608,8.0,128,1024
MLA_4L,8192,0,4194304,4194304,0.004194304,4.0,256,512
GDN_4L,8192,83968,0,83968,8.3968e-05,0.080078125,12787,0
KDA_4L,8192,83968,0,83968,8.3968e-05,0.080078125,12787,0
GDN_GA_3TO1,8192,62976,8388608,8451584,0.008451584,8.06005859375,127,1024
KDA_MLA_3TO1,8192,62976,1048576,1111552,0.001111552,1.06005859375,965,128
K3_KDA_GMLA_3TO1,8192,62976,1048576,1111552,0.001111552,1.06005859375,965,128
MHA_4L,32768,0,134217728,134217728,0.134217728,128.0,8,4096
GQA_4L,32768,0,67108864,67108864,0.067108864,64.0,16,2048
MQA_4L,32768,0,33554432,33554432,0.033554432,32.0,32,1024
MLA_4L,32768,0,16777216,16777216,0.016777216,16.0,64,512
GDN_4L,32768,83968,0,83968,8.3968e-05,0.080078125,12787,0
KDA_4L,32768,83968,0,83968,8.3968e-05,0.080078125,12787,0
GDN_GA_3TO1,32768,62976,33554432,33617408,0.033617408,32.06005859375,31,1024
KDA_MLA_3TO1,32768,62976,4194304,4257280,0.00425728,4.06005859375,252,128
K3_KDA_GMLA_3TO1,32768,62976,4194304,4257280,0.00425728,4.06005859375,252,128
MHA_4L,131072,0,536870912,536870912,0.536870912,512.0,2,4096
GQA_4L,131072,0,268435456,268435456,0.268435456,256.0,4,2048
MQA_4L,131072,0,134217728,134217728,0.134217728,128.0,8,1024
MLA_4L,131072,0,67108864,67108864,0.067108864,64.0,16,512
GDN_4L,131072,83968,0,83968,8.3968e-05,0.080078125,12787,0
KDA_4L,131072,83968,0,83968,8.3968e-05,0.080078125,12787,0
GDN_GA_3TO1,131072,62976,134217728,134280704,0.134280704,128.06005859375,7,1024
KDA_MLA_3TO1,131072,62976,16777216,16840192,0.016840192,16.06005859375,63,128
K3_KDA_GMLA_3TO1,131072,62976,16777216,16840192,0.016840192,16.06005859375,63,128
