variant,context_tokens,cache_bytes,cache_mib,sequences_per_1_gib,bytes_per_token_all_layers
MHA,128,262144,0.25,4096,2048
GQA,128,131072,0.125,8192,1024
MQA,128,65536,0.0625,16384,512
MLA,128,32768,0.03125,32768,256
MHA,512,1048576,1.0,1024,2048
GQA,512,524288,0.5,2048,1024
MQA,512,262144,0.25,4096,512
MLA,512,131072,0.125,8192,256
MHA,2048,4194304,4.0,256,2048
GQA,2048,2097152,2.0,512,1024
MQA,2048,1048576,1.0,1024,512
MLA,2048,524288,0.5,2048,256
MHA,8192,16777216,16.0,64,2048
GQA,8192,8388608,8.0,128,1024
MQA,8192,4194304,4.0,256,512
MLA,8192,2097152,2.0,512,256
MHA,32768,67108864,64.0,16,2048
GQA,32768,33554432,32.0,32,1024
MQA,32768,16777216,16.0,64,512
MLA,32768,8388608,8.0,128,256
MHA,131072,268435456,256.0,4,2048
GQA,131072,134217728,128.0,8,1024
MQA,131072,67108864,64.0,16,512
MLA,131072,33554432,32.0,32,256
